,males,females
0,154.0,136
1-4,549.0,542
5-9,905.0,825
10-14,915.0,948
15-19,955.0,916
20-24,738.0,712
25-29,806.0,681
30-34,637.0,600
35-39,588.0,646
40-44,566.0,516
45-49,529.0,498
50-54,413.0,403
55-59,384.0,417
60-64,309.0,360
65-69,311.0,318
70-74,247.0,281
75-79,154.0,167
80-84,94.0,93
85-89,39.0,55
90-94,18.0,29
95-99,7.0,15
100+,,3
