,males,females
0,51.0,36
1-4,180.0,170
5-9,306.0,266
10-14,336.0,354
15-19,335.0,299
20-24,235.0,245
25-29,208.0,259
30-34,201.0,204
35-39,181.0,216
40-44,206.0,223
45-49,209.0,232
50-54,167.0,193
55-59,177.0,176
60-64,139.0,133
65-69,94.0,131
70-74,81.0,131
75-79,61.0,66
80-84,37.0,54
85-89,18.0,29
90-94,11.0,15
95-99,2.0,3
100+,,2
