,males,females
0,447,425
1-4,1828,1688
5-9,2462,2374
10-14,2794,2814
15-19,2716,2687
20-24,2566,2721
25-29,2462,2671
30-34,2282,2558
35-39,1874,2102
40-44,1647,1881
45-49,1404,1630
50-54,1119,1470
55-59,1092,1248
60-64,950,1240
65-69,747,938
70-74,651,760
75-79,390,559
80-84,294,401
85-89,167,199
90-94,73,116
95-99,26,23
100+,3,16
