,males,females
0,829,783
1-4,3142,3034
5-9,4139,3905
10-14,4663,4544
15-19,4697,4738
20-24,5307,5213
25-29,5329,5229
30-34,4682,4657
35-39,4188,4177
40-44,3854,3848
45-49,3396,3617
50-54,3046,3135
55-59,2325,2299
60-64,1504,1626
65-69,967,1032
70-74,599,769
75-79,402,532
80-84,217,325
85-89,87,145
90-94,33,49
95-99,7,13
100+,2,4
