,males,females
0,126,148
1-4,530,531
5-9,646,661
10-14,835,822
15-19,873,853
20-24,784,675
25-29,596,619
30-34,553,567
35-39,477,526
40-44,469,540
45-49,402,407
50-54,315,335
55-59,238,266
60-64,195,224
65-69,160,152
70-74,148,162
75-79,106,137
80-84,73,77
85-89,31,43
90-94,10,20
95-99,3,1
100+,1,1
