,males,females
0,633,620
1-4,2477,2506
5-9,3250,3207
10-14,3876,3726
15-19,4300,4396
20-24,4614,4759
25-29,4206,4287
30-34,3916,4120
35-39,3777,3961
40-44,3689,3987
45-49,3266,3681
50-54,2778,3198
55-59,2169,2706
60-64,1800,2139
65-69,1448,1523
70-74,1098,1295
75-79,766,879
80-84,461,543
85-89,191,218
90-94,59,100
95-99,10,30
100+,4,7
