,males,females
0,249,234
1-4,1066,1085
5-9,1499,1518
10-14,1713,1603
15-19,1501,1438
20-24,1559,1693
25-29,1404,1393
30-34,1240,1288
35-39,1077,1118
40-44,1046,1096
45-49,841,947
50-54,717,808
55-59,596,673
60-64,603,690
65-69,463,517
70-74,368,511
75-79,221,299
80-84,172,187
85-89,115,116
90-94,39,56
95-99,10,16
100+,1,1
