,males,females
0,78.0,61
1-4,324.0,299
5-9,496.0,431
10-14,589.0,519
15-19,568.0,551
20-24,542.0,518
25-29,544.0,554
30-34,492.0,512
35-39,456.0,470
40-44,490.0,520
45-49,486.0,479
50-54,434.0,447
55-59,352.0,388
60-64,287.0,280
65-69,193.0,209
70-74,158.0,209
75-79,101.0,126
80-84,57.0,99
85-89,34.0,46
90-94,8.0,21
95-99,3.0,3
100+,,1
