,males,females
0,161.0,166.0
1-4,659.0,730.0
5-9,1001.0,935.0
10-14,1174.0,1072.0
15-19,1053.0,990.0
20-24,936.0,883.0
25-29,808.0,842.0
30-34,813.0,829.0
35-39,847.0,741.0
40-44,787.0,836.0
45-49,711.0,668.0
50-54,652.0,570.0
55-59,511.0,484.0
60-64,407.0,404.0
65-69,309.0,277.0
70-74,237.0,205.0
75-79,137.0,134.0
80-84,81.0,88.0
85-89,23.0,33.0
90-94,5.0,16.0
95-99,3.0,2.0
100+,,
