,males,females
0,262.0,230
1-4,1027.0,1035
5-9,1290.0,1202
10-14,1513.0,1386
15-19,1678.0,1649
20-24,1722.0,1694
25-29,1375.0,1444
30-34,1182.0,1180
35-39,1144.0,1153
40-44,1224.0,1307
45-49,1240.0,1033
50-54,922.0,754
55-59,595.0,568
60-64,463.0,373
65-69,326.0,300
70-74,275.0,209
75-79,162.0,107
80-84,75.0,55
85-89,24.0,16
90-94,12.0,7
95-99,,1
100+,,2
