,males,females
0,313,255
1-4,1104,1047
5-9,1441,1424
10-14,1753,1513
15-19,1695,1547
20-24,1683,1669
25-29,1655,1575
30-34,1468,1519
35-39,1299,1352
40-44,1349,1290
45-49,1231,1155
50-54,1049,1092
55-59,887,963
60-64,688,751
65-69,487,504
70-74,355,414
75-79,250,289
80-84,141,212
85-89,72,103
90-94,23,29
95-99,5,8
100+,1,1
