,males,females
0,66.0,58
1-4,281.0,256
5-9,386.0,370
10-14,445.0,409
15-19,406.0,427
20-24,411.0,369
25-29,378.0,366
30-34,364.0,357
35-39,370.0,365
40-44,368.0,329
45-49,322.0,291
50-54,298.0,251
55-59,223.0,228
60-64,205.0,170
65-69,118.0,137
70-74,107.0,95
75-79,78.0,57
80-84,50.0,40
85-89,20.0,25
90-94,3.0,12
95-99,2.0,5
100+,,1
