,males,females
0,76.0,69.0
1-4,353.0,302.0
5-9,490.0,448.0
10-14,559.0,514.0
15-19,549.0,504.0
20-24,481.0,424.0
25-29,423.0,465.0
30-34,428.0,375.0
35-39,394.0,486.0
40-44,482.0,446.0
45-49,431.0,445.0
50-54,369.0,402.0
55-59,347.0,372.0
60-64,298.0,313.0
65-69,219.0,227.0
70-74,158.0,193.0
75-79,101.0,157.0
80-84,70.0,107.0
85-89,21.0,41.0
90-94,4.0,21.0
95-99,,8.0
100+,,
