,males,females
0,752,730
1-4,3046,2986
5-9,4238,4096
10-14,5112,4943
15-19,4847,4843
20-24,5006,4994
25-29,5256,5359
30-34,4814,5003
35-39,4211,4477
40-44,4173,4636
45-49,4068,4478
50-54,3630,3969
55-59,2717,3123
60-64,1974,2447
65-69,1361,1807
70-74,982,1377
75-79,572,940
80-84,269,551
85-89,108,237
90-94,29,77
95-99,6,26
100+,2,6
