,males,females
0,141.0,139.0
1-4,618.0,597.0
5-9,756.0,758.0
10-14,925.0,769.0
15-19,826.0,866.0
20-24,922.0,798.0
25-29,830.0,784.0
30-34,753.0,688.0
35-39,674.0,626.0
40-44,611.0,588.0
45-49,576.0,511.0
50-54,459.0,455.0
55-59,326.0,364.0
60-64,254.0,254.0
65-69,211.0,211.0
70-74,153.0,158.0
75-79,97.0,118.0
80-84,60.0,74.0
85-89,27.0,36.0
90-94,8.0,25.0
95-99,3.0,3.0
100+,,
