,males,females
0,106.0,105
1-4,423.0,423
5-9,587.0,477
10-14,542.0,544
15-19,559.0,537
20-24,543.0,534
25-29,587.0,585
30-34,544.0,488
35-39,419.0,363
40-44,326.0,350
45-49,269.0,303
50-54,236.0,219
55-59,175.0,167
60-64,132.0,148
65-69,114.0,138
70-74,82.0,90
75-79,41.0,58
80-84,31.0,48
85-89,30.0,29
90-94,10.0,16
95-99,2.0,4
100+,,1
