,males,females
0,16.0,26.0
1-4,102.0,85.0
5-9,138.0,116.0
10-14,161.0,127.0
15-19,177.0,159.0
20-24,190.0,150.0
25-29,144.0,138.0
30-34,153.0,155.0
35-39,164.0,116.0
40-44,163.0,145.0
45-49,156.0,162.0
50-54,166.0,150.0
55-59,152.0,140.0
60-64,104.0,96.0
65-69,72.0,65.0
70-74,37.0,53.0
75-79,30.0,40.0
80-84,24.0,34.0
85-89,8.0,21.0
90-94,3.0,3.0
95-99,,1.0
100+,,
