,males,females
0,275,270
1-4,837,830
5-9,1054,955
10-14,815,724
15-19,604,573
20-24,569,583
25-29,569,601
30-34,510,531
35-39,475,423
40-44,377,333
45-49,304,277
50-54,239,180
55-59,193,168
60-64,166,142
65-69,128,95
70-74,83,68
75-79,71,50
80-84,46,37
85-89,43,29
90-94,28,22
95-99,13,6
100+,7,2
